Date,Open,High,Low,Close,Adj Close,Volume
2007-08-08,13497.23046875,13695.8203125,13484.7900390625,13657.8603515625,13657.8603515625,288040000
2007-08-09,13652.330078125,13652.330078125,13270.6796875,13270.6796875,13270.6796875,362490000
2007-08-10,13270.58984375,13306.51953125,13057.8603515625,13239.5400390625,13239.5400390625,338560000
2007-08-13,13239.5400390625,13338.150390625,13219.4599609375,13236.5302734375,13236.5302734375,215260000
2007-08-14,13235.7197265625,13269.7802734375,13018.26953125,13028.919921875,13028.919921875,269120000
2007-08-15,13021.9296875,13119.3203125,12834.240234375,12861.4697265625,12861.4697265625,272760000
2007-08-16,12861.4697265625,12885.849609375,12517.9404296875,12845.7802734375,12845.7802734375,457150000
2007-08-17,12848.0498046875,13167.6796875,12847.8095703125,13079.080078125,13079.080078125,423940000
2007-08-20,13079.080078125,13181.66015625,12982.75,13121.349609375,13121.349609375,231800000
2007-08-21,13120.0498046875,13178.330078125,13052.169921875,13090.8603515625,13090.8603515625,204000000
2007-08-22,13090.8603515625,13248.080078125,13088.259765625,13236.1298828125,13236.1298828125,205530000
2007-08-23,13236.1298828125,13298.6396484375,13169.150390625,13235.8798828125,13235.8798828125,198160000
2007-08-24,13235.8798828125,13381.4697265625,13208.650390625,13378.8701171875,13378.8701171875,186060000
2007-08-27,13377.16015625,13387.330078125,13305.5498046875,13322.1298828125,13322.1298828125,152440000
2007-08-28,13318.4296875,13318.599609375,13034.7802734375,13041.849609375,13041.849609375,230470000
2007-08-29,13043.0703125,13293.4404296875,13043.0703125,13289.2900390625,13289.2900390625,227440000
2007-08-30,13287.91015625,13315.1396484375,13184.58984375,13238.73046875,13238.73046875,193240000
2007-08-31,13240.83984375,13428.9501953125,13240.83984375,13357.740234375,13357.740234375,234920000
2007-09-04,13358.3896484375,13494.0595703125,13317.5,13448.8603515625,13448.8603515625,262260000
2007-09-05,13442.849609375,13443.169921875,13248.240234375,13305.4697265625,13305.4697265625,231850000
2007-09-06,13306.4404296875,13398.7099609375,13274.8203125,13363.349609375,13363.349609375,203600000
2007-09-07,13360.740234375,13360.830078125,13082.169921875,13113.3798828125,13113.3798828125,238300000
2007-09-10,13116.3896484375,13207.1904296875,13021.9296875,13127.849609375,13127.849609375,221760000
2007-09-11,13129.400390625,13325.9501953125,13129.150390625,13308.3896484375,13308.3896484375,200160000
2007-09-12,13298.3095703125,13360.009765625,13263.0302734375,13291.650390625,13291.650390625,195280000
2007-09-13,13292.3798828125,13469.26953125,13292.3798828125,13424.8798828125,13424.8798828125,209950000
2007-09-14,13421.3896484375,13459.75,13323.83984375,13442.51953125,13442.51953125,204780000
2007-09-17,13441.9501953125,13451.5400390625,13362.3701171875,13403.419921875,13403.419921875,169710000
2007-09-18,13403.1796875,13739.9599609375,13403.1796875,13739.3896484375,13739.3896484375,277620000
2007-09-19,13740.6103515625,13867.5,13739.8798828125,13815.5595703125,13815.5595703125,276590000
